time,X,Y,Z,
0.6475, 0.0629889, -2.95149e-05, -0.76348,
0.65, 0.0629535, -2.04933e-05, -0.763267,
0.6525, 0.0629196, -1.29547e-05, -0.763038,
0.655, 0.0628867, -2.24063e-06, -0.762799,
0.6575, 0.0628541, 1.10071e-05, -0.762559,
0.66, 0.0628217, 2.47127e-05, -0.762323,
0.6625, 0.0627877, 3.74463e-05, -0.762089,
0.665, 0.0627524, 4.66892e-05, -0.761845,
0.6675, 0.0627169, 5.43086e-05, -0.761593,
0.67, 0.0626805, 6.29759e-05, -0.761337,
0.6725, 0.0625333, 5.97871e-05, -0.761068,
0.675, 0.0622144, 4.21781e-05, -0.760789,
0.6775, 0.0618897, 2.92436e-05, -0.760514,
0.68, 0.0616177, 1.51654e-05, -0.760252,
0.6825, 0.0613953, -6.96577e-06, -0.760025,
0.685, 0.0611945, -3.74598e-05, -0.759848,
0.6875, 0.0609751, -7.12228e-05, -0.759733,
0.69, 0.0607092, -9.84469e-05, -0.759683,
0.6925, 0.0604096, -0.000115551, -0.759696,
0.695, 0.0601167, -0.000127935, -0.759769,
0.6975, 0.0598697, -0.000143017, -0.759894,
0.7, 0.0596669, -0.000166281, -0.760074,
0.7025, 0.0594753, -0.000194976, -0.760312,
0.705, 0.059248, -0.000196702, -0.760588,
0.7075, 0.0590019, -0.000168219, -0.760901,
0.71, 0.0587572, -0.000131387, -0.761237,
0.7125, 0.0585418, -9.85256e-05, -0.761591,
0.715, 0.0583757, -9.81249e-05, -0.761831,
0.7175, 0.0582357, -0.000126679, -0.761905,
0.72, 0.0581001, -0.000152651, -0.761912,
0.7225, 0.0579578, -0.000173189, -0.761894,
0.725, 0.0578079, -0.000191714, -0.761867,
0.7275, 0.0576621, -0.000214274, -0.761835,
0.73, 0.0575346, -0.000242142, -0.761799,
0.7325, 0.0574292, -0.00027325, -0.761763,
0.735, 0.0573367, -0.000304202, -0.76173,
0.7375, 0.0572444, -0.00033119, -0.761702,
0.74, 0.0571458, -0.000353966, -0.761679,
0.7425, 0.0570415, -0.00037501, -0.761658,
0.745, 0.0569405, -0.000396905, -0.761635,
0.7475, 0.0568521, -0.000419455, -0.761608,
0.75, 0.0567786, -0.00044051, -0.761577,
0.7525, 0.0567138, -0.000458189, -0.761544,
0.755, 0.0566499, -0.000472393, -0.761509,
0.7575, 0.0565515, -0.00048284, -0.761486,
0.76, 0.0564125, -0.00049132, -0.761475,
0.7625, 0.0562694, -0.000497532, -0.761472,
0.765, 0.0561449, -0.000499183, -0.761471,
0.7675, 0.0560412, -0.000494306, -0.761476,
0.77, 0.0559556, -0.000484201, -0.761487,
0.7725, 0.0558816, -0.000471997, -0.761502,
0.775, 0.0558114, -0.000461179, -0.76152,
0.7775, 0.0557393, -0.00045549, -0.761539,
0.78, 0.0556657, -0.00045516, -0.761556,
0.7825, 0.0555972, -0.000450441, -0.761563,
0.785, 0.0555377, -0.000439527, -0.761564,
0.7875, 0.0554811, -0.000425492, -0.761565,
0.79, 0.0554246, -0.000408719, -0.761566,
