t,tau1,tau2,ddq1,ddq2,q1,q2,X,Y,
0.1575,-59.3682,35.0915,-101.99,139.303,0.487032,-2.06242,0.531988,0.879123,
0.15875,-57.4442,35.1056,-99.6264,138.436,0.482398,-2.07209,0.53592,0.866985,
0.16,-55.5532,35.076,-97.2476,137.53,0.477608,-2.08153,0.539798,0.854963,
0.16125,-53.6936,35.0046,-94.8553,136.588,0.472666,-2.09077,0.543622,0.84306,
0.1625,-51.8638,34.8932,-92.4511,135.608,0.467577,-2.09979,0.547393,0.831277,
0.16375,-50.0622,34.7438,-90.0367,134.594,0.462342,-2.1086,0.551112,0.819614,
0.165,-48.2873,34.5582,-87.6138,133.544,0.456968,-2.1172,0.554778,0.808073,
0.16625,-46.5378,34.3383,-85.184,132.46,0.451456,-2.12558,0.558393,0.796655,
0.1675,-44.8123,34.086,-82.749,131.344,0.445811,-2.13377,0.561958,0.78536,
0.16875,-43.1095,33.8031,-80.3103,130.196,0.440037,-2.14174,0.565474,0.774189,
0.17,-41.4283,33.4913,-77.8695,129.017,0.434137,-2.14952,0.568941,0.763143,
0.17125,-39.7677,33.1523,-75.4284,127.809,0.428116,-2.15709,0.572361,0.752221,
0.1725,-38.1265,32.788,-72.9885,126.572,0.421976,-2.16446,0.575736,0.741424,
0.17375,-36.504,32.3999,-70.5513,125.309,0.415723,-2.17164,0.579066,0.730753,
0.175,-34.8992,31.9897,-68.1184,124.019,0.40936,-2.17862,0.582352,0.720207,
0.17625,-33.3114,31.5591,-65.6913,122.704,0.40289,-2.1854,0.585596,0.709786,
0.1775,-31.7398,31.1095,-63.2716,121.365,0.396317,-2.192,0.588799,0.699489,
0.17875,-30.184,30.6424,-60.8607,120.004,0.389646,-2.1984,0.591963,0.689317,
0.18,-28.6433,30.1595,-58.4601,118.622,0.382879,-2.20462,0.595089,0.67927,
0.18125,-27.1172,29.662,-56.0712,117.219,0.376021,-2.21065,0.598178,0.669346,
0.1825,-25.6054,29.1514,-53.6954,115.798,0.369076,-2.21649,0.601232,0.659545,
0.18375,-24.1075,28.6289,-51.3341,114.359,0.362046,-2.22216,0.604252,0.649867,
0.185,-22.6232,28.096,-48.9886,112.904,0.354937,-2.22765,0.607239,0.64031,
0.18625,-21.1523,27.5538,-46.6601,111.434,0.347751,-2.23296,0.610196,0.630874,
0.1875,-19.6946,27.0036,-44.3501,109.949,0.340492,-2.2381,0.613122,0.621558,
0.18875,-18.2499,26.4464,-42.0596,108.452,0.333163,-2.24307,0.616021,0.612361,
0.19,-16.8183,25.8835,-39.7899,106.943,0.325769,-2.24786,0.618892,0.603282,
0.19125,-15.3996,25.3159,-37.5421,105.424,0.318313,-2.25249,0.621738,0.59432,
0.1925,-13.9938,24.7446,-35.3173,103.895,0.310798,-2.25696,0.624559,0.585474,
0.19375,-12.6009,24.1705,-33.1166,102.358,0.303228,-2.26126,0.627357,0.576742,
0.195,-11.2211,23.5947,-30.9409,100.814,0.295606,-2.2654,0.630133,0.568123,
0.19625,-9.85438,23.018,-28.7913,99.2637,0.287936,-2.26939,0.632889,0.559617,
0.1975,-8.50087,22.4412,-26.6686,97.7086,0.280221,-2.27322,0.635625,0.551221,
0.19875,-7.16071,21.8652,-24.5738,96.1494,0.272464,-2.27689,0.638343,0.542934,
0.2,-5.83404,21.2907,-22.5076,94.5873,0.264668,-2.28042,0.641043,0.534756,
0.20125,-4.52103,20.7185,-20.4708,93.0231,0.256838,-2.2838,0.643727,0.526684,
0.2025,-3.22185,20.1492,-18.4642,91.458,0.248976,-2.28703,0.646396,0.518717,
0.20375,-1.93671,19.5835,-16.4884,89.8926,0.241084,-2.29012,0.649052,0.510854,
0.205,-0.665769,19.0219,-14.5441,88.3281,0.233167,-2.29307,0.651693,0.503093,
0.20625,0.590747,18.4652,-12.6318,86.7652,0.225227,-2.29589,0.654323,0.495433,
0.2075,1.83266,17.9137,-10.7521,85.2048,0.217268,-2.29856,0.656941,0.487872,
0.20875,3.05976,17.368,-8.90541,83.6477,0.209292,-2.30111,0.659548,0.480409,
0.21,4.27185,16.8286,-7.09225,82.0947,0.201301,-2.30352,0.662145,0.473042,
0.21125,5.46874,16.2959,-5.31294,80.5466,0.1933,-2.3058,0.664733,0.46577,
0.2125,6.65024,15.7703,-3.56787,79.004,0.18529,-2.30796,0.667312,0.458591,
0.21375,7.81616,15.2521,-1.85726,77.4677,0.177275,-2.31,0.669884,0.451505,
0.215,8.96635,14.7417,-0.181442,75.9383,0.169257,-2.31191,0.672448,0.444508,
0.21625,10.1006,14.2395,1.45947,74.4165,0.161239,-2.31371,0.675006,0.437601,
0.2175,11.2188,13.7456,3.06523,72.903,0.153223,-2.31539,0.677557,0.430781,
0.21875,12.3208,13.2604,4.63582,71.3982,0.145211,-2.31695,0.680102,0.424047,
0.22,13.4065,12.7841,6.17109,69.9028,0.137207,-2.31841,0.682642,0.417398,
0.22125,14.4757,12.3168,7.67107,68.4173,0.129213,-2.31975,0.685177,0.410833,
0.2225,15.5283,11.8588,9.13571,66.9422,0.12123,-2.32099,0.687707,0.404349,
0.22375,16.5643,11.4103,10.5651,65.478,0.113262,-2.32212,0.690232,0.397946,
0.225,17.5836,10.9712,11.9593,64.0251,0.10531,-2.32315,0.692754,0.391622,
0.22625,18.586,10.5419,13.3185,62.584,0.0973772,-2.32408,0.695271,0.385376,
0.2275,19.5716,10.1223,14.6427,61.1552,0.0894649,-2.32492,0.697785,0.379207,
0.22875,20.5403,9.7125,15.9323,59.7388,0.0815756,-2.32566,0.700295,0.373114,
